epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.9399,1.44207,5.31926,1.36033,0.18555,0.40421,0.2404,0.17398,1.33354,5.27202,1.31336,0.00260726,0.00260726,0.0765347
2,84.839,1.13028,2.8953,1.18429,0.62232,0.54481,0.56657,0.405,1.23267,3.67002,1.24996,0.00524625,0.00524625,0.052771
3,197.354,1.06843,2.20194,1.12771,0.46131,0.26958,0.24863,0.1545,1.82159,5.06296,1.59039,0.00788011,0.00788011,0.0290022
4,352.971,1.05012,1.89964,1.10058,0.76883,0.56136,0.63758,0.46803,1.19649,2.64045,1.17752,0.0099781,0.0099781,0.0099781
5,446.786,1.02534,1.71583,1.08743,0.77759,0.67014,0.69815,0.49153,1.19755,2.28036,1.18641,0.00996109,0.00996109,0.00996109
6,487.905,1.00427,1.62074,1.08132,0.70346,0.70203,0.72116,0.52548,1.11244,2.21652,1.10243,0.00993925,0.00993925,0.00993925
7,528.828,0.98604,1.54004,1.06262,0.76583,0.72924,0.75676,0.57765,1.00491,1.96484,1.08831,0.0099126,0.0099126,0.0099126
8,569.171,0.96708,1.46103,1.05471,0.75385,0.70695,0.74315,0.5457,1.14406,2.10866,1.12511,0.00988117,0.00988117,0.00988117
9,610.352,0.94457,1.39098,1.04049,0.72065,0.73253,0.74221,0.55778,1.01483,2.094,1.05939,0.00984498,0.00984498,0.00984498
10,650.623,0.92299,1.35966,1.03842,0.85554,0.72117,0.78832,0.61081,0.95022,1.7225,1.034,0.00980408,0.00980408,0.00980408
11,690.953,0.91812,1.31452,1.03038,0.65227,0.52188,0.58912,0.41867,1.28035,3.33285,1.28859,0.0097585,0.0097585,0.0097585
12,731.086,0.90365,1.27759,1.02032,0.77659,0.75798,0.79839,0.61893,0.95313,1.64128,1.06816,0.00970829,0.00970829,0.00970829
13,771.807,0.8974,1.2536,1.01621,0.75857,0.62682,0.70594,0.52162,1.15635,2.10766,1.1423,0.0096535,0.0096535,0.0096535
14,812.131,0.89091,1.21154,1.0152,0.76651,0.78396,0.79831,0.6258,0.92956,1.60843,0.99451,0.00959418,0.00959418,0.00959418
15,853.273,0.88855,1.18133,1.00883,0.76623,0.77868,0.78965,0.61216,0.93386,1.53705,1.00585,0.00953039,0.00953039,0.00953039
16,963.047,0.86266,1.13554,1.00322,0.79071,0.7956,0.80648,0.63867,0.88227,1.44333,0.9865,0.0094622,0.0094622,0.0094622
17,1121.7,0.84673,1.12061,1.00461,0.78394,0.81608,0.80948,0.61749,0.93585,1.43799,0.99408,0.00938967,0.00938967,0.00938967
18,1283.41,0.85301,1.08881,0.99929,0.78635,0.81364,0.81472,0.62088,0.97681,1.45935,0.99041,0.00931287,0.00931287,0.00931287
19,1440.06,0.83986,1.08531,0.99886,0.80532,0.7974,0.82492,0.63736,0.88316,1.41753,0.95642,0.00923188,0.00923188,0.00923188
20,1601.71,0.83618,1.04715,0.9974,0.81139,0.7558,0.78686,0.61586,0.90683,1.57746,1.00537,0.00914677,0.00914677,0.00914677
21,1757.98,0.82958,1.03326,0.99518,0.798,0.74069,0.78564,0.61289,0.92478,1.57999,0.96413,0.00905764,0.00905764,0.00905764
22,1917.69,0.82996,1.02176,0.99384,0.82004,0.78938,0.82751,0.65387,0.85162,1.31694,0.93919,0.00896457,0.00896457,0.00896457
23,2076.28,0.81123,0.99731,0.98405,0.83067,0.78609,0.82743,0.65318,0.88434,1.27324,0.94321,0.00886765,0.00886765,0.00886765
24,2172.26,0.80552,0.97267,0.97863,0.80263,0.76681,0.80597,0.62171,0.93546,1.38311,0.99627,0.00876699,0.00876699,0.00876699
25,2299.14,0.80481,0.95318,0.97753,0.84691,0.79961,0.83091,0.66643,0.84727,1.2142,0.94007,0.00866266,0.00866266,0.00866266
26,2455.16,0.79844,0.94401,0.97553,0.84197,0.81606,0.83353,0.66552,0.81641,1.17119,0.92164,0.00855479,0.00855479,0.00855479
27,2531.16,0.79621,0.92974,0.97156,0.86344,0.75053,0.83035,0.66535,0.84301,1.26233,0.93847,0.00844348,0.00844348,0.00844348
28,2578.4,0.79063,0.91237,0.97347,0.85623,0.82572,0.84257,0.67795,0.80771,1.10496,0.92193,0.00832883,0.00832883,0.00832883
29,2621.34,0.77644,0.90704,0.96887,0.8523,0.78063,0.83135,0.67014,0.82497,1.20971,0.95459,0.00821096,0.00821096,0.00821096
