epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.842,1.54834,4.52381,1.39499,0.60988,0.48235,0.48214,0.37045,1.15862,2.86306,1.10474,0.00260726,0.00260726,0.0765347
2,87.202,0.99564,1.70158,1.07713,0.7653,0.64352,0.66659,0.50156,1.08657,1.92347,1.06394,0.00524625,0.00524625,0.052771
3,128.999,0.95372,1.35378,1.04563,0.74058,0.68981,0.73029,0.56441,0.97951,1.60298,1.06491,0.00788011,0.00788011,0.0290022
4,172.131,0.95345,1.21478,1.0329,0.76431,0.69615,0.74828,0.54489,1.1273,1.73358,1.14614,0.0099781,0.0099781,0.0099781
5,253.633,0.93895,1.13304,1.02998,0.74642,0.77597,0.78307,0.6029,0.96152,1.39939,0.9791,0.00996109,0.00996109,0.00996109
6,299.356,0.91802,1.06381,1.02729,0.79764,0.74602,0.79805,0.60395,0.99277,1.33012,1.02053,0.00993925,0.00993925,0.00993925
7,351.242,0.90594,1.02003,1.01589,0.75453,0.78144,0.79034,0.5939,1.01159,1.32987,1.03078,0.0099126,0.0099126,0.0099126
8,522.217,0.88913,0.98397,1.01398,0.78854,0.76276,0.80391,0.62271,0.94996,1.32536,1.00396,0.00988117,0.00988117,0.00988117
9,571.945,0.86629,0.94112,1.00095,0.74641,0.82021,0.80581,0.62853,0.91805,1.24942,0.99079,0.00984498,0.00984498,0.00984498
10,670.29,0.85675,0.92625,1.0021,0.79949,0.80852,0.82209,0.64642,0.88689,1.07533,0.96261,0.00980408,0.00980408,0.00980408
11,720.182,0.84692,0.90502,0.99463,0.80115,0.79718,0.81691,0.64134,0.90602,1.16436,0.93709,0.0097585,0.0097585,0.0097585
12,761.774,0.84033,0.89096,0.99045,0.81259,0.80133,0.81319,0.64746,0.8646,1.08888,0.94737,0.00970829,0.00970829,0.00970829
13,802.616,0.83119,0.87709,0.9878,0.78905,0.79594,0.82166,0.64126,0.89053,1.13098,0.97187,0.0096535,0.0096535,0.0096535
14,843.626,0.82306,0.84636,0.98723,0.77843,0.80306,0.81851,0.66255,0.8308,1.05127,0.93499,0.00959418,0.00959418,0.00959418
15,886.58,0.81967,0.84506,0.98321,0.80711,0.84026,0.84798,0.68335,0.83568,1.00998,0.93204,0.00953039,0.00953039,0.00953039
16,927.974,0.79403,0.80981,0.97549,0.79239,0.85365,0.84724,0.67138,0.81416,0.99572,0.90964,0.0094622,0.0094622,0.0094622
17,968.626,0.78588,0.81387,0.97815,0.82419,0.81102,0.83534,0.65905,0.86577,1.12037,0.93853,0.00938967,0.00938967,0.00938967
18,1009.98,0.78993,0.80447,0.97535,0.81263,0.82147,0.8446,0.6696,0.84529,1.07506,0.93656,0.00931287,0.00931287,0.00931287
19,1050.9,0.77244,0.78658,0.96818,0.8468,0.82725,0.86202,0.69732,0.79898,0.95616,0.91365,0.00923188,0.00923188,0.00923188
20,1091.92,0.77973,0.78459,0.97132,0.82716,0.82041,0.85564,0.68762,0.79293,1.03152,0.89253,0.00914677,0.00914677,0.00914677
21,1133.12,0.7661,0.77371,0.96656,0.83765,0.81564,0.84413,0.67531,0.8065,1.05475,0.91725,0.00905764,0.00905764,0.00905764
22,1173.68,0.76946,0.77311,0.96731,0.86809,0.82694,0.86226,0.69649,0.7823,0.98989,0.89645,0.00896457,0.00896457,0.00896457
23,1214.29,0.75115,0.76609,0.95945,0.83497,0.85122,0.86716,0.68636,0.84728,0.96068,0.89997,0.00886765,0.00886765,0.00886765
24,1255.03,0.74918,0.73664,0.95588,0.83094,0.84151,0.8509,0.68546,0.79143,0.98246,0.93224,0.00876699,0.00876699,0.00876699
25,1296.24,0.74223,0.73075,0.95311,0.85577,0.84189,0.85198,0.66834,0.85225,0.94264,0.92961,0.00866266,0.00866266,0.00866266
26,1338.2,0.73254,0.71967,0.95005,0.8701,0.81843,0.85091,0.68606,0.78023,0.94978,0.91276,0.00855479,0.00855479,0.00855479
27,1381.18,0.73484,0.71923,0.94649,0.86005,0.84415,0.85482,0.67924,0.83186,0.97199,0.89751,0.00844348,0.00844348,0.00844348
28,1422.41,0.73158,0.70397,0.95055,0.89916,0.82772,0.86277,0.70387,0.78578,0.90809,0.90316,0.00832883,0.00832883,0.00832883
29,1466.03,0.7154,0.70768,0.94243,0.87864,0.83656,0.87191,0.70696,0.76763,0.94438,0.90726,0.00821096,0.00821096,0.00821096
30,1509.26,0.71572,0.69722,0.94349,0.86549,0.85843,0.86199,0.70507,0.77727,0.89609,0.89644,0.00808999,0.00808999,0.00808999
31,1551.15,0.71014,0.69565,0.94029,0.88831,0.86957,0.87293,0.71055,0.76561,0.87704,0.91983,0.00796603,0.00796603,0.00796603
32,1593.03,0.71361,0.67308,0.94005,0.88369,0.84235,0.87341,0.70791,0.80634,0.91457,0.9278,0.00783921,0.00783921,0.00783921
